Order_ID,Month,City,Area,Restaurant,Food_Category,Item_Name,Quantity,Unit_Price,Discount,Delivery_Fee,Subtotal,Total_Amount,Cost,Profit,Meal_Time,Order_Status,Payment_Method,Rating
ORD-1000,Jan,Lahore,Gulberg,Charcoal Grill,Burger,Crispy Burger,3,470,0.0,99,1410,1509,776,733,Breakfast,Delivered,Cash on Delivery,4.0
ORD-1001,Jan,Lahore,Bahria Town,Andaaz,Pizza,Chicken Tikka Pizza,2,705,0.15,49,1410,1248,776,472,Lunch,Cancelled,EasyPaisa,
ORD-1002,Jan,Lahore,Bahria Town,Cafe Aylanto,Biryani,Beef Biryani,2,306,0.2,99,612,589,337,252,Dinner,Delivered,EasyPaisa,4.0
ORD-1003,Jan,Lahore,Johar Town,Haveli Restaurant,BBQ,Boti Kabab,2,1362,0.0,0,2724,2724,1498,1226,Late Night,Delivered,EasyPaisa,4.5
ORD-1004,Jan,Lahore,Gulberg,Charcoal Grill,Karahi,Mutton Karahi,4,1163,0.0,79,4652,4731,2559,2172,Lunch,Delivered,EasyPaisa,4.0
ORD-1005,Jan,Lahore,Johar Town,Cafe Aylanto,Dessert,Gulab Jamun,3,177,0.0,0,531,531,292,239,Dinner,Delivered,JazzCash,4.5
ORD-1006,Jan,Lahore,Gulberg,Spice Bazaar,Desi,Aloo Gosht,5,329,0.1,0,1645,1480,905,575,Dinner,Delivered,Credit Card,3.5
ORD-1007,Jan,Lahore,Gulberg,Hussain Chowk Paye,BBQ,Seekh Kabab,3,1375,0.1,79,4125,3792,2269,1523,Late Night,Delivered,Credit Card,4.0
ORD-1008,Jan,Lahore,Cantt,Hussain Chowk Paye,Burger,Smash Burger,2,477,0.15,79,954,890,525,365,Breakfast,Delivered,EasyPaisa,5.0
ORD-1009,Jan,Lahore,Clifton,Lahori Chargha,Pizza,Pepperoni Pizza,4,984,0.0,99,3936,4035,2165,1870,Breakfast,Cancelled,Credit Card,
ORD-1010,Jan,Lahore,Bahria Town,Andaaz,BBQ,Chicken Tikka,1,1175,0.1,49,1175,1106,646,460,Dinner,Delivered,EasyPaisa,3.0
ORD-1011,Jan,Lahore,Johar Town,Bundu Khan Lahore,Karahi,Chicken Karahi,1,1031,0.0,0,1031,1031,567,464,Lunch,Delivered,Cash on Delivery,3.5
ORD-1012,Jan,Lahore,DHA,Salt'n Pepper,Burger,Double Patty Burger,4,575,0.1,0,2300,2070,1265,805,Breakfast,Delivered,Debit Card,4.5
ORD-1013,Jan,Lahore,Wapda Town,Charcoal Grill,BBQ,Chicken Tikka,4,1175,0.0,79,4700,4779,2585,2194,Breakfast,Delivered,EasyPaisa,5.0
ORD-1014,Jan,Lahore,Johar Town,Salt'n Pepper,Pizza,BBQ Pizza,2,1001,0.15,79,2002,1781,1101,680,Late Night,Cancelled,Cash on Delivery,
ORD-1015,Jan,Lahore,Clifton,Charcoal Grill,Shawarma,Beef Shawarma,4,261,0.0,99,1044,1143,574,569,Breakfast,Cancelled,EasyPaisa,
ORD-1016,Jan,Lahore,Clifton,Hussain Chowk Paye,Nihari,Special Nihari,1,461,0.0,99,461,560,254,306,Dinner,Delivered,JazzCash,3.5
